# dead front rings of the FINAL board — mask-open, never soldered, never scrubbed
# x,y in the BOARD frame (board frame - the filtered gerbers' own)
58.000,26.200  # BZ1-1 dead front ring
58.000,33.800  # BZ1-2 dead front ring
16.225,16.533  # LED1-1 dead front ring
14.685,13.866  # LED1-2 dead front ring
31.775,16.533  # LED10-1 dead front ring
33.315,13.866  # LED10-2 dead front ring
39.550,30.000  # LED11-1 dead front ring
42.630,30.000  # LED11-2 dead front ring
37.467,37.775  # LED12-1 dead front ring
40.134,39.315  # LED12-2 dead front ring
24.000,14.450  # LED2-1 dead front ring
24.000,11.370  # LED2-2 dead front ring
10.533,37.775  # LED3-1 dead front ring
7.866,39.315  # LED3-2 dead front ring
16.225,43.467  # LED4-1 dead front ring
14.685,46.134  # LED4-2 dead front ring
8.450,30.000  # LED5-1 dead front ring
5.370,30.000  # LED5-2 dead front ring
10.533,22.225  # LED6-1 dead front ring
7.866,20.685  # LED6-2 dead front ring
31.775,43.467  # LED7-1 dead front ring
33.315,46.134  # LED7-2 dead front ring
24.000,45.550  # LED8-1 dead front ring
24.000,48.630  # LED8-2 dead front ring
37.467,22.225  # LED9-1 dead front ring
40.134,20.685  # LED9-2 dead front ring
16.000,4.000  # PAD1-1 dead front ring
60.750,16.150  # S1-1 dead front ring
60.750,20.650  # S1-1B dead front ring
54.250,16.150  # S1-2 dead front ring
54.250,20.650  # S1-2B dead front ring
60.750,39.350  # S2-1 dead front ring
60.750,43.850  # S2-1B dead front ring
54.250,39.350  # S2-2 dead front ring
54.250,43.850  # S2-2B dead front ring
22.140,5.000  # SW1-1 dead front ring
27.000,5.000  # SW1-2 dead front ring
31.860,5.000  # SW1-3 dead front ring
